id,coin_id,one_day_trend,day_perc_diff,one_week_trend,symbol_count,name_count,coin_id_count,sentiment_score,social_dominance,block_number
3552478,pepe,-13,-9.7014925373,-5.2857142857,121,0,121,0,5.21883e-05,17000000
794231,brett,0,0,0,0,0,0,0,0,17000010
1451023,dogecoin,-16,-10.3896103896,-1.7142857143,138,24,162,0,6.9872e-05,17000020
4818869,uniswap,26,86.6666666667,2.8571428571,56,552,608,0,0.0002622356,17000030
1680014,ethereum,-255,-6.3622754491,188.5714285714,3753,1885,5638,0,0.0024317174,17000040
4818870,uniswap,-5,-8.9285714286,0.2857142857,51,730,781,0,0.0003117481,17000050
1451024,dogecoin,114,82.6086956522,16.1428571429,252,37,289,0,0.0001153588,17000060
3552479,pepe,-2,-1.652892562,-13.7142857143,119,0,119,0,4.75007e-05,17000070
794232,brett,0,0,0,0,0,0,0,0,17000080
1680015,ethereum,268,7.1409539035,207.1428571429,4021,1760,5781,0,0.0023075744,17000090
4818871,uniswap,8,15.6862745098,-1.8571428571,59,820,879,0,0.0003722426,17000100
3552480,pepe,58,48.7394957983,-177.4285714286,177,0,177,0,7.49567e-05,17000110
1680016,ethereum,-596,-14.8221835364,44.1428571429,3425,1554,4979,0,0.002108528,17000120
794233,brett,0,0,0,0,0,0,0,0,17000130
1451025,dogecoin,312,123.8095238095,57.8571428571,564,31,595,0,0.0002519731,17000140
794234,brett,3,0,0.4285714286,3,0,3,0,1.1262e-06,17000150
1680017,ethereum,-325,-9.4890510949,-145.5714285714,3100,2490,5590,0,0.0020984996,17000160
1451026,dogecoin,-295,-52.304964539,19.5714285714,269,35,304,0,0.0001141223,17000170
4818872,uniswap,-15,-25.4237288136,-1.7142857143,44,722,766,0,0.0002875583,17000180
3552481,pepe,238,134.4632768362,-165.1428571429,415,0,415,0,0.000155792,17000190
3552482,pepe,1033,248.9156626506,3.8571428571,1448,0,1448,0,0.0005831244,17000200
4818873,uniswap,156,354.5454545455,22.8571428571,200,1009,1209,0,0.0004868767,17000210
